,0,1,2,3,4
e7329141,1.0,1.0,0.0,1.0,0.0
e7510117,0.0,0.0,1.0,0.0,1.0
e7449893,1.0,1.0,1.0,1.0,1.0
e7628837,1.0,1.0,0.0,1.0,1.0
e7480519,0.0,0.0,1.0,0.0,1.0
e7633147,1.0,0.0,1.0,0.0,1.0
e7631803,1.0,1.0,1.0,1.0,1.0
e7616441,1.0,0.0,0.0,0.0,1.0
e7620183,1.0,1.0,1.0,1.0,1.0
e6648869,0.0,1.0,0.0,0.0,0.0
e7312645,0.0,1.0,0.0,1.0,0.0
e6496949,0.0,0.0,1.0,0.0,0.0
e6820935,0.0,0.0,0.0,0.0,1.0
e6691657,0.0,1.0,0.0,0.0,0.0
e6390341,1.0,0.0,0.0,0.0,0.0
e6692149,0.0,0.0,1.0,0.0,0.0
e6860481,1.0,0.0,0.0,0.0,0.0
e7096839,0.0,0.0,1.0,0.0,1.0
e7577795,1.0,1.0,0.0,1.0,1.0
e95404,1.0,0.0,0.0,0.0,0.0
e7630303,1.0,1.0,1.0,1.0,1.0
e6779323,0.0,0.0,1.0,0.0,0.0
e7571071,0.0,0.0,1.0,1.0,1.0
e7171185,1.0,0.0,1.0,0.0,0.0
e7494753,0.0,0.0,1.0,0.0,0.0
e7505921,1.0,0.0,0.0,0.0,0.0
e7635307,1.0,1.0,0.0,0.0,0.0
e6962297,0.0,0.0,0.0,0.0,1.0
e7598231,0.0,1.0,0.0,1.0,0.0
e6804929,1.0,0.0,0.0,0.0,0.0
e6891825,1.0,0.0,1.0,0.0,0.0
e7629349,1.0,1.0,1.0,1.0,1.0
e6157796,0.0,0.0,1.0,0.0,1.0
e7488577,1.0,0.0,0.0,0.0,0.0
e7530429,0.0,0.0,0.0,0.0,1.0
e7632923,1.0,1.0,1.0,1.0,1.0
e7632767,1.0,1.0,1.0,1.0,1.0
e7630449,1.0,1.0,1.0,1.0,1.0
e6713749,1.0,1.0,1.0,1.0,1.0
e61142,0.0,1.0,0.0,0.0,0.0
e61144,1.0,0.0,1.0,1.0,1.0
e7626243,1.0,1.0,0.0,1.0,0.0
e7495317,1.0,1.0,0.0,0.0,1.0
e7351643,1.0,1.0,1.0,0.0,1.0
e7358085,1.0,0.0,1.0,0.0,1.0
e6744951,1.0,0.0,0.0,0.0,0.0
e7485129,0.0,1.0,0.0,0.0,0.0
e65210,0.0,1.0,0.0,0.0,0.0
e6666803,1.0,0.0,0.0,0.0,0.0
e7269515,0.0,0.0,0.0,1.0,0.0
e7630429,1.0,1.0,1.0,1.0,1.0
e7552305,0.0,1.0,1.0,0.0,0.0
e6732335,0.0,1.0,1.0,1.0,0.0
e6780087,0.0,0.0,0.0,0.0,1.0
e6834727,1.0,0.0,0.0,0.0,0.0
e7145881,0.0,0.0,1.0,0.0,1.0
e7624909,1.0,1.0,0.0,0.0,0.0
e7539743,0.0,1.0,1.0,0.0,0.0
e20892,0.0,0.0,1.0,0.0,0.0
e6554703,0.0,1.0,0.0,1.0,0.0
e7207547,0.0,0.0,1.0,1.0,0.0
e7614335,0.0,0.0,0.0,1.0,0.0
e6673177,0.0,0.0,0.0,0.0,1.0
e7476941,0.0,1.0,0.0,0.0,0.0
e6386077,0.0,0.0,1.0,0.0,0.0
e86778,0.0,1.0,0.0,0.0,0.0
e7491751,1.0,0.0,0.0,0.0,0.0
e7362471,0.0,0.0,1.0,1.0,1.0
e7475669,1.0,0.0,0.0,0.0,0.0
e7604283,0.0,1.0,1.0,1.0,1.0
e7063707,0.0,0.0,1.0,0.0,1.0
e7204943,1.0,1.0,0.0,1.0,0.0
e7528247,1.0,1.0,1.0,1.0,1.0
e7618409,1.0,1.0,1.0,1.0,1.0
e48848,0.0,0.0,0.0,0.0,1.0
e7565053,1.0,0.0,1.0,0.0,0.0
e7633685,1.0,1.0,1.0,1.0,1.0
e7204513,0.0,1.0,0.0,1.0,0.0
e6656853,1.0,0.0,0.0,0.0,0.0
e6778153,0.0,0.0,0.0,0.0,1.0
e7232485,1.0,0.0,0.0,0.0,1.0
e6463771,0.0,1.0,0.0,0.0,0.0
e7478875,1.0,0.0,1.0,0.0,0.0
