,0,1,2
e5097518,1.0,0.0,1.0
e5489898,1.0,0.0,1.0
e5580794,1.0,1.0,1.0
e5510280,1.0,1.0,1.0
e5573484,0.0,1.0,0.0
e5590524,0.0,1.0,0.0
e5594628,0.0,1.0,0.0
e5484514,1.0,1.0,0.0
e5337584,1.0,1.0,0.0
e134334,1.0,0.0,0.0
e5222820,0.0,1.0,0.0
e5603534,1.0,1.0,1.0
e5211746,0.0,1.0,0.0
e5347476,0.0,0.0,1.0
e5603448,1.0,1.0,1.0
e5502124,1.0,0.0,1.0
e5143476,1.0,1.0,0.0
e4934746,1.0,0.0,0.0
e5606016,1.0,1.0,1.0
e5606508,1.0,0.0,1.0
e5391614,0.0,1.0,0.0
e5397222,1.0,0.0,1.0
e5591986,1.0,1.0,1.0
e5279954,0.0,1.0,0.0
e5601746,1.0,0.0,1.0
e183032,0.0,0.0,0.0
e5285588,0.0,0.0,1.0
e5056686,0.0,1.0,1.0
e5316410,0.0,1.0,0.0
e5229420,1.0,0.0,0.0
e5549486,0.0,1.0,0.0
e5200822,1.0,0.0,0.0
e5217898,0.0,1.0,0.0
e5261158,0.0,0.0,1.0
e5574438,1.0,0.0,0.0
e5229418,0.0,1.0,0.0
e5594486,1.0,0.0,0.0
e5594488,1.0,0.0,0.0
e5592654,1.0,0.0,0.0
e5587972,1.0,1.0,1.0
e5217652,1.0,1.0,0.0
e5291530,1.0,1.0,0.0
e5604638,1.0,1.0,1.0
e5168328,1.0,0.0,0.0
e5599468,1.0,1.0,0.0
e5556026,1.0,0.0,1.0
e192284,1.0,0.0,0.0
e5180414,1.0,0.0,1.0
e5528670,1.0,0.0,1.0
e5246774,1.0,0.0,0.0
e5498204,1.0,0.0,1.0
e4985172,1.0,0.0,0.0
e189884,1.0,0.0,0.0
e5046980,1.0,0.0,0.0
e5536720,0.0,0.0,1.0
e5536722,1.0,0.0,0.0
e5603086,0.0,1.0,1.0
e5541740,1.0,1.0,0.0
e4859090,1.0,0.0,0.0
e5603364,1.0,1.0,1.0
e5470052,1.0,0.0,1.0
e5535592,0.0,1.0,0.0
e5535594,1.0,0.0,1.0
e4917270,1.0,0.0,0.0
e5189406,0.0,0.0,1.0
e5450202,1.0,1.0,0.0
e5569346,1.0,1.0,1.0
e5605730,1.0,0.0,0.0
e5605734,0.0,1.0,0.0
e109452,0.0,0.0,0.0
e5540572,0.0,1.0,0.0
e5604576,1.0,1.0,1.0
e5226940,0.0,1.0,0.0
e5527106,1.0,1.0,1.0
e5083632,1.0,1.0,0.0
e5177138,1.0,0.0,1.0
e5591692,1.0,0.0,1.0
e255314,1.0,1.0,0.0
e5562470,1.0,1.0,0.0
e5576802,1.0,0.0,1.0
e5545732,1.0,0.0,0.0
e5544190,1.0,1.0,0.0
e5549062,0.0,0.0,1.0
e5602564,1.0,1.0,1.0
e5546600,0.0,1.0,0.0
e5600724,1.0,1.0,1.0
e5189346,0.0,1.0,0.0
e5469486,1.0,0.0,1.0
e272624,1.0,0.0,0.0
e5505138,0.0,1.0,0.0
e223104,1.0,0.0,0.0
e4721530,1.0,0.0,0.0
e5535392,1.0,0.0,1.0
e5584076,0.0,1.0,1.0
e5532934,1.0,1.0,0.0
e5608016,1.0,1.0,1.0
e5548606,0.0,1.0,0.0
e5603434,1.0,1.0,1.0
e5585398,1.0,0.0,1.0
e5595074,1.0,0.0,0.0
e5499192,1.0,0.0,1.0
e5607020,1.0,1.0,1.0
e5432596,1.0,0.0,1.0
e5160666,1.0,0.0,0.0
e5535382,0.0,1.0,0.0
e5605288,1.0,1.0,1.0
e5288988,0.0,1.0,0.0
e4970978,1.0,0.0,0.0
e5597150,1.0,1.0,1.0
e5508728,1.0,1.0,1.0
e5607082,1.0,1.0,1.0
e5190600,0.0,1.0,0.0
e5212142,1.0,1.0,0.0
e5591388,1.0,1.0,0.0
e246586,0.0,0.0,0.0
e4843454,1.0,0.0,0.0
e5604742,1.0,1.0,1.0
e5546048,1.0,0.0,1.0
e5541044,1.0,0.0,0.0
e5572454,0.0,0.0,1.0
e5514846,1.0,0.0,1.0
e5533582,0.0,0.0,1.0
e5549352,1.0,1.0,0.0
e4709546,1.0,0.0,0.0
