,0,1,2,3
e6408112,0.0,1.0,0.0,1.0
e104824,0.0,0.0,0.0,1.0
e104826,0.0,1.0,0.0,0.0
e7096312,1.0,1.0,1.0,0.0
e7000518,0.0,0.0,0.0,1.0
e7101928,1.0,1.0,1.0,0.0
e6501458,0.0,1.0,0.0,0.0
e7063456,1.0,0.0,1.0,1.0
e7136026,1.0,1.0,1.0,1.0
e6513812,0.0,0.0,1.0,0.0
e7128084,1.0,1.0,1.0,1.0
e7092874,1.0,1.0,1.0,0.0
e7092424,0.0,1.0,1.0,1.0
e7099768,1.0,1.0,1.0,0.0
e6367728,0.0,0.0,0.0,0.0
e111794,1.0,0.0,0.0,0.0
e7104854,0.0,0.0,0.0,1.0
e7035778,0.0,0.0,1.0,1.0
e6761440,0.0,0.0,1.0,1.0
e7099462,1.0,1.0,1.0,1.0
e101724,0.0,0.0,1.0,1.0
e7106148,0.0,0.0,0.0,1.0
e7113242,1.0,1.0,1.0,0.0
e6540554,1.0,0.0,0.0,1.0
e6877176,0.0,1.0,1.0,0.0
e6951040,0.0,1.0,0.0,1.0
e7092364,1.0,1.0,1.0,1.0
e6560578,0.0,0.0,0.0,1.0
e6971370,1.0,1.0,1.0,0.0
e29560,1.0,0.0,0.0,0.0
e7028626,0.0,0.0,1.0,0.0
e6526190,0.0,1.0,0.0,0.0
e6889096,0.0,1.0,1.0,0.0
e6516464,0.0,1.0,0.0,0.0
e6905798,1.0,0.0,1.0,1.0
e6718092,1.0,0.0,0.0,1.0
e6761166,0.0,1.0,1.0,0.0
e6944838,0.0,1.0,0.0,1.0
e6190634,1.0,0.0,0.0,1.0
e6757500,1.0,0.0,0.0,1.0
e6521310,0.0,0.0,1.0,0.0
e7010418,0.0,0.0,0.0,1.0
e5940260,0.0,0.0,0.0,1.0
e6531180,0.0,0.0,0.0,1.0
e6997580,0.0,0.0,0.0,1.0
e6396128,1.0,0.0,0.0,0.0
e7117154,0.0,1.0,1.0,1.0
e6649688,0.0,0.0,1.0,0.0
e7056872,0.0,1.0,1.0,0.0
e81914,0.0,0.0,0.0,1.0
e6779554,1.0,0.0,0.0,1.0
e7118560,1.0,1.0,0.0,1.0
e6612870,1.0,0.0,0.0,0.0
e7125534,0.0,1.0,1.0,0.0
e107938,0.0,0.0,1.0,0.0
e6320138,1.0,0.0,0.0,0.0
e7111940,0.0,0.0,0.0,1.0
e6268022,1.0,0.0,0.0,1.0
e7094318,1.0,1.0,1.0,1.0
e6476302,1.0,0.0,0.0,0.0
e7019208,1.0,0.0,0.0,0.0
