,0,1,2,3,4
e7492116,0.0,0.0,1.0,1.0,0.0
e7629672,1.0,0.0,0.0,1.0,1.0
e7635980,0.0,1.0,1.0,0.0,0.0
e6525846,1.0,0.0,0.0,0.0,0.0
e6717504,0.0,0.0,1.0,0.0,0.0
e7299508,1.0,0.0,1.0,1.0,0.0
e7526730,1.0,1.0,0.0,0.0,0.0
e127228,1.0,0.0,0.0,0.0,0.0
e91650,0.0,0.0,0.0,1.0,0.0
e91652,0.0,0.0,0.0,0.0,1.0
e6846932,1.0,0.0,0.0,0.0,0.0
e6806968,0.0,0.0,0.0,1.0,1.0
e7506650,1.0,0.0,0.0,0.0,0.0
e6848440,0.0,0.0,0.0,0.0,1.0
e6822004,0.0,1.0,1.0,0.0,0.0
e6799708,0.0,0.0,0.0,0.0,1.0
e7613802,0.0,1.0,1.0,1.0,1.0
e7561014,1.0,1.0,0.0,1.0,0.0
e6861692,0.0,1.0,0.0,0.0,0.0
e7354568,1.0,1.0,0.0,1.0,0.0
e14978,0.0,1.0,1.0,1.0,0.0
e6604126,0.0,0.0,1.0,0.0,0.0
e22578,1.0,0.0,0.0,1.0,0.0
e6649770,0.0,1.0,0.0,1.0,0.0
e7618852,0.0,1.0,0.0,0.0,0.0
e7618854,0.0,0.0,0.0,1.0,0.0
e7630196,1.0,1.0,1.0,1.0,1.0
e6860596,0.0,1.0,0.0,0.0,0.0
e6917560,0.0,1.0,1.0,0.0,1.0
e6854642,0.0,0.0,0.0,0.0,1.0
e6295724,0.0,0.0,1.0,0.0,0.0
e6797624,0.0,1.0,0.0,0.0,0.0
e7640580,1.0,1.0,1.0,1.0,1.0
e7441152,0.0,1.0,1.0,1.0,0.0
e6750912,1.0,0.0,0.0,0.0,1.0
e7483226,0.0,1.0,1.0,0.0,0.0
e7331614,1.0,0.0,0.0,0.0,1.0
e7556180,0.0,1.0,1.0,0.0,0.0
e7160338,0.0,1.0,1.0,1.0,0.0
e14174,0.0,1.0,0.0,0.0,0.0
e7611616,0.0,1.0,1.0,1.0,0.0
e7338034,1.0,0.0,0.0,0.0,0.0
e7623216,1.0,1.0,1.0,1.0,1.0
e6876298,0.0,1.0,0.0,0.0,0.0
e22934,1.0,0.0,0.0,0.0,0.0
e7637510,0.0,1.0,1.0,1.0,0.0
e50096,0.0,0.0,1.0,0.0,0.0
e50102,0.0,0.0,1.0,0.0,0.0
e7484616,0.0,0.0,1.0,0.0,0.0
e7557176,0.0,1.0,1.0,0.0,0.0
e6725250,1.0,0.0,1.0,0.0,0.0
e7617734,0.0,1.0,0.0,0.0,0.0
e72534,0.0,0.0,0.0,1.0,0.0
e6742108,0.0,0.0,0.0,1.0,0.0
e7606042,1.0,1.0,0.0,1.0,1.0
e33690,0.0,0.0,1.0,0.0,0.0
e33692,0.0,0.0,1.0,0.0,0.0
e7507756,1.0,0.0,0.0,0.0,0.0
e7277630,1.0,1.0,0.0,1.0,0.0
e6793046,0.0,0.0,1.0,0.0,0.0
e80304,0.0,1.0,0.0,0.0,0.0
e7603398,1.0,1.0,1.0,0.0,1.0
e7573642,1.0,0.0,0.0,0.0,1.0
e7637456,1.0,1.0,0.0,0.0,0.0
e6448424,1.0,0.0,0.0,0.0,0.0
e6725280,0.0,0.0,1.0,1.0,0.0
e111566,0.0,0.0,0.0,1.0,0.0
e111568,0.0,0.0,1.0,0.0,0.0
e6504748,0.0,0.0,0.0,0.0,1.0
e7372388,0.0,0.0,0.0,0.0,1.0
e7595606,1.0,1.0,1.0,1.0,1.0
e6810004,0.0,0.0,1.0,0.0,0.0
e6699274,1.0,0.0,0.0,0.0,0.0
e7483128,0.0,0.0,0.0,0.0,1.0
e7508662,0.0,1.0,0.0,0.0,0.0
e7588072,1.0,1.0,0.0,1.0,1.0
e7035104,0.0,0.0,1.0,1.0,0.0
e7378660,1.0,1.0,0.0,0.0,1.0
e7316584,1.0,1.0,0.0,0.0,0.0
e6369458,1.0,0.0,1.0,0.0,0.0
e6840526,1.0,0.0,0.0,0.0,0.0
e7336204,1.0,0.0,0.0,1.0,0.0
e7488832,0.0,0.0,0.0,1.0,0.0
e7628526,1.0,1.0,1.0,1.0,0.0
e7609158,0.0,1.0,1.0,1.0,0.0
e7494918,0.0,0.0,0.0,1.0,0.0
e7573154,0.0,1.0,1.0,0.0,0.0
e6348764,1.0,0.0,0.0,0.0,0.0
e7216598,0.0,1.0,1.0,0.0,0.0
e7239686,1.0,0.0,0.0,0.0,1.0
e7635986,1.0,1.0,1.0,1.0,1.0
e101740,1.0,1.0,0.0,0.0,0.0
e6621486,0.0,0.0,1.0,1.0,1.0
e118864,0.0,0.0,0.0,0.0,1.0
e7497754,0.0,0.0,0.0,1.0,0.0
e7514300,0.0,1.0,0.0,0.0,0.0
e7619778,0.0,1.0,0.0,1.0,0.0
e7543476,0.0,1.0,0.0,1.0,0.0
e108296,0.0,1.0,0.0,1.0,0.0
e6795274,0.0,0.0,1.0,0.0,1.0
e7635940,1.0,1.0,1.0,1.0,1.0
e7330460,0.0,1.0,1.0,1.0,0.0
e20128,0.0,1.0,0.0,1.0,0.0
e20130,0.0,0.0,1.0,0.0,0.0
e6858182,1.0,0.0,0.0,1.0,1.0
e7475182,0.0,1.0,1.0,1.0,0.0
e7478064,1.0,1.0,1.0,1.0,1.0
e7518846,0.0,0.0,0.0,0.0,1.0
e7636994,1.0,0.0,0.0,0.0,0.0
e7611568,1.0,1.0,0.0,0.0,1.0
e7481984,0.0,1.0,0.0,0.0,0.0
e7561818,0.0,0.0,1.0,1.0,0.0
e6782504,1.0,0.0,0.0,0.0,0.0
e7223816,1.0,0.0,1.0,1.0,0.0
e6752642,0.0,0.0,1.0,0.0,0.0
e7545188,1.0,0.0,1.0,1.0,0.0
e6877484,0.0,0.0,1.0,0.0,0.0
e6865942,0.0,0.0,0.0,1.0,0.0
e101948,0.0,0.0,0.0,1.0,0.0
e6249342,0.0,1.0,0.0,0.0,0.0
e89344,1.0,0.0,0.0,0.0,0.0
e6421170,1.0,0.0,0.0,0.0,0.0
e6959242,0.0,1.0,0.0,1.0,0.0
e6322964,0.0,1.0,0.0,0.0,0.0
e7634424,1.0,1.0,0.0,1.0,1.0
e7579660,1.0,0.0,0.0,0.0,1.0
e7306104,1.0,0.0,0.0,0.0,1.0
e7456308,0.0,1.0,1.0,1.0,0.0
e7631078,1.0,1.0,0.0,1.0,1.0
