name,strains_print,color
5622790+,s4,#b0b0b0
5623228+,s4,#b0b0b0
5623402+,"s4, s8",#b0b0b0
5623434+,s5,Lime
5623692+,s5,Lime
5623704+,s8,#b0b0b0
5623890+,s5,Teal
5623930+,s5,Lime
5624046+,"s4, s8",#b0b0b0
5624200+,s5,Lime
5624292+,s4,#b0b0b0
5624296+,s5,Lime
5624336+,s5,Lime
5624422+,"s4, s8",#b0b0b0
5624434+,s4,#b0b0b0
5624646+,s5,Lime
5624732+,s8,#b0b0b0
5624744+,s5,Lime
5624938+,s8,#b0b0b0
5625014+,s4,#b0b0b0
5625036+,s5,Lime
5625060+,s4,#b0b0b0
5625236+,"s5, s8",Teal
5625446+,"s4, s5, s8",Teal
5625686+,s5,Lime
5626066+,s4,#b0b0b0
5626158+,s8,#b0b0b0
5626290+,s4,#b0b0b0
5626310+,s4,#b0b0b0
5626502+,s4,#b0b0b0
5626564+,s4,#b0b0b0
5626634+,s8,#b0b0b0
5627090+,s5,Lime
5627156+,s5,Teal
5627282+,s5,Lime
5627434+,s5,Lime
5627536+,s8,#b0b0b0
5627944+,s4,#b0b0b0
5627950+,s5,Teal
5627978+,s8,#b0b0b0
5628010+,s8,#b0b0b0
5628052+,s8,#b0b0b0
5628122+,s4,#b0b0b0
5628130+,s5,Lime
5628282+,s4,#b0b0b0
5628490+,s4,#b0b0b0
5628606+,s8,#b0b0b0
5628892+,s5,Lime
5629044+,s4,#b0b0b0
5629230+,s8(2),#b0b0b0
5629342+,s4,#b0b0b0
5629392+,s4,#b0b0b0
5629574+,s8,#b0b0b0
5629782+,s4,#b0b0b0
5629830+,s5,Lime
5629906+,s4,#b0b0b0
5630204+,s5,Lime
5630220+,s8,#b0b0b0
5630348+,s5,Lime
5630406+,s8,#b0b0b0
5630426+,"s4, s8",#b0b0b0
5630502+,s5,Lime
5630562+,s5,Lime
5630664+,s4,#b0b0b0
5630914+,s5,Teal
5630946+,"s4, s8",#b0b0b0
5631030+,s4,#b0b0b0
