,0,1,2
e5877772,0.0,1.0,1.0
e5933786,1.0,0.0,0.0
e5499384,1.0,0.0,0.0
e5603824,1.0,1.0,0.0
e5635272,1.0,0.0,0.0
e5650416,1.0,0.0,0.0
e5780744,0.0,1.0,1.0
e5631554,0.0,1.0,0.0
e5954878,1.0,0.0,1.0
e5913426,1.0,1.0,1.0
e5881452,1.0,0.0,0.0
e5949768,1.0,1.0,1.0
e5611198,1.0,0.0,0.0
e294136,1.0,0.0,1.0
e5872356,0.0,0.0,1.0
e5893354,1.0,0.0,0.0
e5903902,0.0,1.0,1.0
e5652078,1.0,0.0,0.0
e5812930,0.0,1.0,1.0
e5949972,0.0,1.0,1.0
e5677668,1.0,0.0,0.0
e5578742,0.0,0.0,1.0
e5639052,0.0,0.0,1.0
e5933844,1.0,0.0,0.0
e5938752,0.0,1.0,1.0
e5948868,0.0,1.0,1.0
e5612636,1.0,0.0,0.0
e5877366,0.0,0.0,1.0
e5888792,0.0,1.0,0.0
e5909986,0.0,1.0,1.0
e5940944,0.0,1.0,1.0
e5462108,1.0,1.0,1.0
e5819554,0.0,1.0,1.0
e5928178,1.0,1.0,1.0
e5929954,0.0,0.0,1.0
e5938162,1.0,0.0,0.0
e5916968,1.0,0.0,1.0
e5376984,1.0,1.0,1.0
e5954958,1.0,1.0,1.0
e5617262,1.0,0.0,0.0
e5889508,0.0,1.0,1.0
e5610550,0.0,1.0,0.0
e5865168,1.0,1.0,1.0
e5562996,1.0,0.0,0.0
e5638296,1.0,0.0,0.0
e5944176,1.0,0.0,1.0
e246474,0.0,1.0,0.0
e5101704,0.0,0.0,0.0
e5634802,0.0,0.0,1.0
e5818290,1.0,1.0,0.0
e5658966,1.0,0.0,0.0
e5903276,0.0,1.0,1.0
e5947280,1.0,1.0,1.0
e5946494,1.0,0.0,1.0
e5883846,1.0,0.0,0.0
e5944942,0.0,1.0,1.0
e5899866,1.0,0.0,0.0
e5181612,0.0,1.0,1.0
e5455106,0.0,1.0,0.0
e5624296,1.0,0.0,0.0
e236554,1.0,0.0,1.0
e5912830,0.0,1.0,1.0
e5336990,0.0,1.0,0.0
e5300952,1.0,1.0,1.0
e5890778,1.0,0.0,0.0
e5919880,1.0,1.0,1.0
e5101018,0.0,0.0,0.0
e5932734,0.0,1.0,0.0
e5938142,1.0,0.0,0.0
e5533648,1.0,0.0,0.0
e5946732,1.0,1.0,1.0
e5940238,1.0,0.0,1.0
e5935256,1.0,0.0,0.0
e5678024,1.0,0.0,0.0
e5954636,0.0,1.0,1.0
e5625686,1.0,0.0,0.0
e5931782,0.0,1.0,0.0
e5949544,1.0,0.0,1.0
e5955642,1.0,1.0,1.0
e5871896,0.0,1.0,0.0
e5954736,1.0,1.0,1.0
e5912600,0.0,1.0,1.0
e5955894,1.0,1.0,1.0
e5955690,1.0,1.0,1.0
e5464820,0.0,1.0,0.0
e5680056,1.0,1.0,0.0
e5760786,0.0,1.0,1.0
e243136,1.0,0.0,0.0
e243138,0.0,1.0,1.0
e5630914,1.0,0.0,0.0
e5909772,0.0,1.0,1.0
e5867906,1.0,0.0,0.0
e5823688,1.0,1.0,1.0
e5953974,1.0,1.0,1.0
e5120644,0.0,0.0,0.0
e5474232,0.0,0.0,1.0
e5954384,1.0,1.0,1.0
e5621568,1.0,0.0,0.0
e5599168,1.0,0.0,0.0
e5845072,1.0,1.0,1.0
e5873792,0.0,0.0,1.0
e5890658,1.0,0.0,0.0
e5104486,0.0,0.0,0.0
e5954030,1.0,1.0,1.0
e5954216,1.0,1.0,1.0
e5933902,0.0,1.0,1.0
e5933904,1.0,0.0,0.0
e5556180,1.0,0.0,0.0
e5955086,1.0,1.0,1.0
e5832926,1.0,1.0,1.0
e373842,0.0,0.0,0.0
e387800,0.0,1.0,1.0
e387802,0.0,0.0,1.0
e387806,1.0,1.0,0.0
e5651722,1.0,0.0,0.0
e5903596,0.0,1.0,1.0
e5924572,1.0,1.0,1.0
e5742838,1.0,1.0,0.0
e5739856,1.0,1.0,0.0
e345648,1.0,0.0,0.0
e5101600,0.0,0.0,0.0
e5606860,0.0,1.0,0.0
e348656,0.0,0.0,0.0
e5938932,1.0,0.0,1.0
e346250,1.0,0.0,0.0
e5876000,1.0,0.0,0.0
e5098760,0.0,0.0,0.0
e5622542,0.0,0.0,1.0
e5914340,1.0,1.0,1.0
e348496,1.0,1.0,0.0
e5898132,1.0,1.0,0.0
e5936548,1.0,0.0,0.0
e384798,0.0,1.0,0.0
e5614036,0.0,0.0,1.0
e5496756,0.0,0.0,0.0
