name,strains_print,color
4896150,s7,#b0b0b0
4897782,s7(2),#b0b0b0
4899430,nobody,#b0b0b0
4899716,"s7, s9, s5",Lime
4900844,s7,#b0b0b0
4901574,s5,Teal
4903604,nobody,#b0b0b0
4903710,s9,#b0b0b0
4905774,"s7, s5",Lime
4908262,s5(3),Green
4911290,nobody,#b0b0b0
4917270,nobody,#b0b0b0
4920018,s7,#b0b0b0
4924108,nobody,#b0b0b0
4924448,s7,#b0b0b0
4925050,nobody,#b0b0b0
4927956,s5(14),Navy
4933630,nobody,#b0b0b0
4934664,s9,#b0b0b0
4934746,nobody,#b0b0b0
4936046,"s7, s5",Lime
4936930,nobody,#b0b0b0
4942238,nobody,#b0b0b0
4942862,nobody,#b0b0b0
4943552,s5,Lime
4947960,s7,#b0b0b0
4956516,nobody,#b0b0b0
4959002,s5,Lime
4959070,s7,#b0b0b0
4963210,nobody,#b0b0b0
4963332,nobody,#b0b0b0
4968340,s7,#b0b0b0
4969416,s7,#b0b0b0
4970476,nobody,#b0b0b0
4970978,nobody,#b0b0b0
4972228,s5,Lime
4973246,s7,#b0b0b0
4975062,s5,Lime
4975146,nobody,#b0b0b0
4979258,nobody,#b0b0b0
4979944,s5,Lime
4984150,s9,#b0b0b0
4984226,s7,#b0b0b0
4984570,nobody,#b0b0b0
4984666,nobody,#b0b0b0
4985172,s7,#b0b0b0
4985692,nobody,#b0b0b0
4987864,nobody,#b0b0b0
4989642,s5,Lime
4993164,"s7, s5",Lime
4993418,nobody,#b0b0b0
4994750,s5,Lime
4995326,s5,Lime
4996038,s7,#b0b0b0
4997874,s7,#b0b0b0
4998060,"s7, s9",#b0b0b0
5005528,s9,#b0b0b0
5009622,s7,#b0b0b0
5011392,s5,Lime
5013264,s9,#b0b0b0
5013402,s9,#b0b0b0
5014028,nobody,#b0b0b0
5014150,"s9(2), s5(2)",Green
5015210,s9,#b0b0b0
5016174,s9,#b0b0b0
5017174,s7(4),Orange
5018162,s5,Lime
5019060,s5,Lime
5020432,s9,#b0b0b0
5024522,"s7, s5",Lime
5025442,"s7(3), s5",Green
5026814,s7,#b0b0b0
5026924,nobody,#b0b0b0
5027064,s5,Lime
5030100,nobody,#b0b0b0
5030922,nobody,#b0b0b0
5033170,s5,Lime
5037904,nobody,#b0b0b0
5040370,nobody,#b0b0b0
5043626,s9,#b0b0b0
5045742,s7(4),Orange
5046762,s9,#b0b0b0
5046872,s9,#b0b0b0
5046980,s7,#b0b0b0
5047618,s9,#b0b0b0
5047786,"s7, s5",Lime
5048072,s5,Lime
5050374,s9(2),#b0b0b0
5050932,nobody,#b0b0b0
5052206,nobody,#b0b0b0
5054028,"s7(2), s5",Green
5054966,nobody,#b0b0b0
5055952,s7,#b0b0b0
5056686,"s7, s9, s5",Lime
5057966,"s7, s5",Lime
5058274,s5,Lime
5058304,nobody,#b0b0b0
5058706,s5,Teal
5061846,s5,Lime
5062222,s9,#b0b0b0
5062384,s5,Lime
5063688,s5,Lime
5065372,s7,#b0b0b0
5067536,s5,Lime
5069164,s5,Lime
5069972,s9,#b0b0b0
5070318,nobody,Yellow
5070748,s5,Lime
5072540,"s9, s5",Teal
5073506,s9(2),#b0b0b0
5074126,s5,Lime
5074432,s9,#b0b0b0
5074934,s9,#b0b0b0
5074984,s5,Lime
5075298,nobody,#b0b0b0
5075556,nobody,#b0b0b0
5077574,s7,#b0b0b0
5078462,s5(3),Green
5079342,s5,Lime
5079474,nobody,#b0b0b0
5079722,"s7, s5",Lime
5080716,nobody,#b0b0b0
5082420,nobody,Yellow
5082790,s7,#b0b0b0
5083632,s9(5),#b0b0b0
5083958,nobody,#b0b0b0
5083992,s7,#b0b0b0
5084336,s7,#b0b0b0
5084680,nobody,#b0b0b0
5084910,s7,#b0b0b0
5085710,s5,Teal
5086074,s7,#b0b0b0
5087006,s9,#b0b0b0
5087116,s9,#b0b0b0
5087540,s9,#b0b0b0
5087656,s9,#b0b0b0
5089160,nobody,#b0b0b0
5090084,nobody,#b0b0b0
5090764,s7(2),#b0b0b0
5091356,s9,#b0b0b0
5091754,s9,#b0b0b0
5092050,s7,#b0b0b0
5093806,s7(2),#b0b0b0
5095458,s7,#b0b0b0
5095774,s9,#b0b0b0
5096066,s9,#b0b0b0
5096734,nobody,#b0b0b0
5096800,s9,#b0b0b0
5096834,s9,#b0b0b0
5096914,s5,Lime
5097518,"s7, s5",Lime
5098416,s5,Lime
5099742,s7,#b0b0b0
5100104,s7,#b0b0b0
5100590,s5,Lime
5102538,s5,Lime
5102762,s5,Lime
5103122,s7,#b0b0b0
5103730,s5,Lime
5103960,nobody,#b0b0b0
5104344,s7,#b0b0b0
5104558,s7,#b0b0b0
5105182,"s7, s5",Lime
5105306,s7,#b0b0b0
5105468,s7,#b0b0b0
5106012,nobody,#b0b0b0
5106586,s7,#b0b0b0
5107398,s7,#b0b0b0
5108098,s7,#b0b0b0
5108286,s9,#b0b0b0
5108606,nobody,#b0b0b0
5109762,s5,Teal
5110422,s7,#b0b0b0
5110580,s7,#b0b0b0
5110844,s7,#b0b0b0
5110954,s7,#b0b0b0
5112074,"s9, s5",Lime
5112158,s9,#b0b0b0
5112342,s9,#b0b0b0
5113270,s5,Lime
5113422,nobody,#b0b0b0
5113634,"s7(2), s9(4), s5",Green
5113730,"s7, s9, s5",Lime
5114206,nobody,#b0b0b0
5115650,s7,#b0b0b0
5115742,nobody,#b0b0b0
5116066,s5,Lime
5117116,s7,#b0b0b0
5117298,"s7(2), s9(2)",Orange
5119242,s9,#b0b0b0
5119260,"s7, s5",Lime
5119608,"s9, s5",Lime
5120630,nobody,#b0b0b0
5120722,s5(13),Navy
5121066,"s7, s5",Lime
5122032,s7,#b0b0b0
5122200,s9,#b0b0b0
5122306,s5,Lime
5123372,"s7, s9(2)",#b0b0b0
5123556,s7,#b0b0b0
5123806,s9,#b0b0b0
5124308,s5,Lime
5125958,s9,#b0b0b0
5126140,nobody,#b0b0b0
5126760,s5,Lime
5126824,s7,#b0b0b0
5126938,s7,#b0b0b0
5128520,"s7, s5",Lime
5128526,s7,#b0b0b0
5129232,s9,#b0b0b0
5131070,nobody,#b0b0b0
5131102,"s7, s9",#b0b0b0
5132372,nobody,#b0b0b0
5132558,s9,#b0b0b0
5133140,s7,#b0b0b0
5133318,s9(2),#b0b0b0
5134208,s9,#b0b0b0
5134562,"s7, s5",Lime
5135670,s5,Lime
5137334,s5,Lime
5137988,nobody,#b0b0b0
5138534,s7,#b0b0b0
5138724,s9,#b0b0b0
5139142,s5,Lime
5139466,"s7, s5",Lime
5139908,s9(2),#b0b0b0
5140010,"s7, s5",Lime
5140222,s5,Lime
5140344,s9,#b0b0b0
5140358,s7,#b0b0b0
5141158,s9,#b0b0b0
5142038,s7,#b0b0b0
5142372,nobody,#b0b0b0
5143342,s7,#b0b0b0
5143476,s9,#b0b0b0
5143600,nobody,#b0b0b0
5143818,s5,Lime
5144234,s7,#b0b0b0
5144498,s7,#b0b0b0
5144858,s9(2),#b0b0b0
5145134,s7,#b0b0b0
5145258,s5(2),Green
5145506,"s9(2), s5",Green
5145698,s7,#b0b0b0
5146110,s5,Lime
5146470,s7,#b0b0b0
5146878,s7,#b0b0b0
5147082,s5(2),Green
5147246,"s7(3), s5",Green
5147270,s5,Teal
5147274,s7,#b0b0b0
5148060,s5,Lime
5148910,s5,Lime
5149260,s5,Teal
5149310,s5,Teal
5149920,s7,#b0b0b0
5150650,s5,Lime
5151864,s7,#b0b0b0
5151888,s5,Lime
5152316,nobody,#b0b0b0
5152638,s9,#b0b0b0
5152936,s9,#b0b0b0
5153856,nobody,#b0b0b0
5154818,s7,#b0b0b0
5154828,"s7, s5",Lime
5154834,s9,#b0b0b0
5155712,s7,#b0b0b0
5156080,s7,#b0b0b0
5156090,"s7(2), s9",#b0b0b0
5156150,s5,Lime
5156724,s5,Lime
5157110,s7,#b0b0b0
5157548,s5(2),Green
5157908,s9(3),#b0b0b0
5158314,s9,#b0b0b0
5158360,s9,#b0b0b0
5158392,s5,Teal
5158412,"s7, s9(2)",#b0b0b0
5158696,s5,Lime
5159118,s5,Lime
5159194,s9,#b0b0b0
5159736,s7,#b0b0b0
5159834,"s9, s5(2)",Green
5159860,s7,#b0b0b0
5160600,nobody,#b0b0b0
5160638,nobody,#b0b0b0
5160666,s7,#b0b0b0
5160976,s7,#b0b0b0
5161012,s9,#b0b0b0
5161022,nobody,#b0b0b0
5161128,"s7, s9",#b0b0b0
5161778,nobody,#b0b0b0
5161862,"s7, s5",Lime
5161948,"s7, s9, s5",Lime
5161994,s7,#b0b0b0
5163040,s9,#b0b0b0
5163082,s7,#b0b0b0
5163798,"s7, s9(4), s5",Green
5164080,s7,#b0b0b0
5165654,nobody,#b0b0b0
5165666,s5,Lime
5165728,nobody,#b0b0b0
5166640,nobody,#b0b0b0
5167366,s7,#b0b0b0
5167500,s9,#b0b0b0
5168328,s7,#b0b0b0
5168566,s7,#b0b0b0
5169266,s7,#b0b0b0
5169354,nobody,#b0b0b0
5170132,s9,#b0b0b0
5170878,s9,#b0b0b0
5170888,s9,#b0b0b0
5171244,s5,Lime
5171568,s7,#b0b0b0
5172340,s7,#b0b0b0
5172432,s9,#b0b0b0
5172580,nobody,#b0b0b0
5173472,s5,Lime
5173528,s9,#b0b0b0
5174470,s7,#b0b0b0
5175270,s5,Lime
5175368,s7,#b0b0b0
5175442,s5,Lime
5175542,s5,Lime
5175574,s5,Lime
5175784,s9,#b0b0b0
5175840,s9,#b0b0b0
5176116,"s9, s5",Lime
5176172,s9,#b0b0b0
5176890,s7,#b0b0b0
5177138,"s7, s5",Lime
5177732,s9,#b0b0b0
5177854,"s7, s9(3), s5",Green
5178016,s5,Lime
5178040,s9,#b0b0b0
5178804,s9,#b0b0b0
5178902,s5(2),Green
5178994,s9,#b0b0b0
5179040,s5,Lime
5179292,s7,#b0b0b0
5179332,s7,#b0b0b0
5179838,"s9, s5",Lime
5180414,"s7, s5",Lime
5180854,s7(5),Orange
5181986,s9,#b0b0b0
5182298,s5,Lime
5182578,s5,Lime
5182776,"s7, s9",#b0b0b0
5183124,"s7, s5",Lime
5183770,s7,#b0b0b0
5183824,s9,#b0b0b0
5184192,s9,#b0b0b0
5184258,s5,Lime
5184288,s7,#b0b0b0
5184292,nobody,#b0b0b0
5184462,s9,#b0b0b0
5184526,s7,#b0b0b0
5184816,nobody,#b0b0b0
5185018,s9,#b0b0b0
5185348,s5,Lime
5185786,s5,Lime
5186044,s5,Lime
5186682,s9(2),#b0b0b0
5186818,s9,#b0b0b0
5187182,s9,#b0b0b0
5187438,s9,#b0b0b0
5187836,s5,Lime
5187948,s9,#b0b0b0
5188024,s7,#b0b0b0
5188082,s5,Lime
5188236,"s7, s5",Lime
5188376,s7,#b0b0b0
5188608,s5,Lime
5188610,s5,Lime
5188648,nobody,#b0b0b0
5188918,s5,Lime
5189346,s9,#b0b0b0
5189406,s5,Lime
5189508,s7,#b0b0b0
5189682,s9,#b0b0b0
5189798,s7,#b0b0b0
5189996,s7,#b0b0b0
5190064,nobody,#b0b0b0
5190524,s7,#b0b0b0
5190600,s9(2),#b0b0b0
5190672,s5,Lime
5190928,nobody,#b0b0b0
5190986,"s7, s5",Lime
5191212,nobody,#b0b0b0
5191826,s5,Lime
5191834,"s7, s5",Lime
5191880,s5,Lime
5192136,"s7, s5",Lime
5192516,s7,#b0b0b0
5192556,s9,#b0b0b0
5192610,"s7, s5",Lime
5192682,s7,#b0b0b0
5192874,s7,#b0b0b0
5192992,s5,Lime
5193150,s9(2),#b0b0b0
5193170,s7,#b0b0b0
5193262,s7,#b0b0b0
5193332,s7,#b0b0b0
5193388,s9,#b0b0b0
5193524,s5,Lime
5193596,s9,#b0b0b0
5193602,"s7(5), s9(2), s5",Green
5193922,s5,Lime
5193960,"s7, s9, s5",Lime
5193962,s9,#b0b0b0
5194320,s9,#b0b0b0
5194346,s7,#b0b0b0
5194896,s5,Lime
5195036,s9,#b0b0b0
5195044,s9,#b0b0b0
5195122,s9,#b0b0b0
5195452,s9,#b0b0b0
